Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Aaron Gordon,75,612,8.2,465,65.8,9.2,4.6,75,343,365,47,-3.2,1.1,82,109,37.6,-3
2022,2022 Aaron Henry,6,2,0.3,2,50,-6.6,0.0,6,0,3,0,-50.2,0,0,2,0,-40.6
2022,2022 Aaron Holiday,63,194,3.1,185,52.4,-4.2,2.3,63,147,153,48,-2.2,0.5,30,50,30,-10.6
2022,2022 Aaron Nesmith,52,66,1.3,51,64.7,8.1,2.1,52,109,131,41.6,-8.6,0.3,16,16,50,9.4
2022,2022 Aaron Wiggins,50,220,4.4,193,57,0.4,2.7,50,134,144,46.5,-3.7,0.2,8,7,57.1,16.5
2022,2022 Abdel Nader,14,16,1.1,21,38.1,-18.5,0.9,14,12,13,46.2,-4.1,0,0,0,0,0
2022,2022 Ade Murkey,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
2022,2022 Admiral Schofield,38,50,1.3,47,53.2,-3.4,2.2,38,84,80,52.5,2.3,0.2,6,3,100,59.4
2022,2022 Ahmad Caver,1,2,2,1,100,43.4,0.0,1,0,0,0,0,0,0,0,0,0
2022,2022 Al Horford,69,308,4.5,244,63.1,6.5,4.5,69,313,325,48.2,-2.1,0.7,46,60,38.3,-2.3
2022,2022 Alec Burks,81,196,2.4,251,39,-17.6,6.5,81,530,477,55.6,5.3,0.8,62,89,34.8,-5.8
2022,2022 Aleem Ford,5,8,1.6,5,80,23.4,1.2,5,6,15,20,-30.2,0,0,0,0,0
2022,2022 Alekesej Pokusevski,61,232,3.8,220,52.7,-3.9,3.2,61,197,236,41.7,-8.5,0.4,26,39,33.3,-7.3
2022,2022 Alex Caruso,41,108,2.6,110,49.1,-7.5,3.3,41,137,144,47.6,-2.6,0.3,14,21,33.3,-7.3
2022,2022 Alex Len,39,172,4.4,151,57,0.3,0.6,39,22,25,44,-6.2,0.1,4,4,50,9.4
2022,2022 Alfonzo McKinnie,17,26,1.5,25,52,-4.6,1.8,17,31,36,43.1,-7.2,0.2,4,9,22.2,-18.4
2022,2022 Alize Johnson,23,34,1.5,35,48.6,-8.1,0.0,23,0,3,0,-50.2,0,0,0,0,0
2022,2022 Alperen Sengun,72,432,6,391,55.2,-1.4,1.3,72,95,128,37.1,-13.1,0.1,8,17,23.5,-17.1
2022,2022 Amir Coffey,69,204,3,172,59.3,2.7,4.6,69,314,293,53.6,3.4,0.4,26,40,32.5,-8.1
2022,2022 Andre Drummond,73,490,6.7,421,58.2,1.6,0.1,73,4,10,20,-30.2,0.1,4,9,22.2,-18.4
2022,2022 Andre Iguodala,31,54,1.7,40,67.5,10.9,1.8,31,55,78,35.3,-15,0.1,4,8,25,-15.6
2022,2022 Andrew Wiggins,73,502,6.9,441,56.9,0.3,8.3,73,605,578,52.3,2.1,1.8,134,180,37.2,-3.4
2022,2022 Anfernee Simons,57,230,4,220,52.3,-4.4,11.5,57,655,575,57,6.7,2.1,118,135,43.7,3.1
2022,2022 Anthony Davis,40,570,14.3,430,66.3,9.7,4.6,40,183,265,34.5,-15.7,3.6,144,195,36.9,-3.7
2022,2022 Anthony Edwards,72,596,8.3,540,55.2,-1.4,9.9,72,716,703,50.9,0.7,1,74,105,35.2,-5.4
